Question,Show Name,Sorry-I did NOT see this one.,Very dissatisfied,Dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Very satisfied,Total,Total Responses,Missing Responses,Last Update
1,The Queen's Gambit,12,0,0,2,6,14,34,34,0,2/12/2021 22:21
2,Breaking Bad,16,0,0,1,7,10,34,34,0,2/12/2021 22:21
3,Bridgerton,23,0,4,1,3,2,33,34,1,2/12/2021 22:21
4,Sherlock,17,0,0,4,7,5,33,34,1,2/12/2021 22:21
5,Ozark,19,2,0,2,7,4,34,34,0,2/12/2021 22:21
6,Hannibal,25,0,3,1,1,4,34,34,0,2/12/2021 22:21
7,The Haunting of Bly Manor,29,1,0,1,1,2,34,34,0,2/12/2021 22:21
8,Collateral,25,0,0,2,7,0,34,34,0,2/12/2021 22:21
9,Community,22,1,0,1,6,3,33,34,1,2/12/2021 22:21
10,Schitt's Creek,18,1,1,3,4,5,32,34,2,2/12/2021 22:21
